cmdId  W   SET-handler  QUERY-handler  command
0x0151  RW  0x1fee8      -              :DIAG:KEIT:IBBR
0x0152  R   -            -              ?
0x0153  RW  0x1ffa4      -              :DIAG:KEIT:BOOT
0x0154  RW  0x20000      -              :DIAG:KEIT:DBUR
0x0155  RW  0x20042      -              :DIAG:KEIT:FAN
0x0156  RW  0x20090      -              :DIAG:KEIT:PROG
0x0157  RW  0x2014e      0x26c9e        :DIAG:KEIT:CCHK
0x0158  RW  0x201bc      0x26a3e        :DIAG:KEIT:BITS:AFB
0x0159  RW  0x20216      0x26a3e        :DIAG:KEIT:BITS:RNG
0x015a  RW  0x20270      0x26a3e        :DIAG:KEIT:BITS:VDAC
0x015b  RW  0x202ca      0x26a3e        :DIAG:KEIT:BITS:IDAC
0x015c  RW  0x20324      0x26a3e        :DIAG:KEIT:BITS:SYS
0x015d  RW  0x2037e      0x26a3e        :DIAG:KEIT:BITS:MUX
0x015e  RW  0x203d8      0x26a3e        :DIAG:KEIT:BITS:INT
0x015f  R   -            0x26b70        :DIAG:KEIT:BITS:DATA
0x0160  RW  0x20432      0x26a3e        :DIAG:KEIT:BITS:SIG1
0x0161  RW  0x20474      0x26a3e        :DIAG:KEIT:BITS:SIG2
0x0162  RW  0x204b6      0x26a3e        :DIAG:KEIT:BITS:REF
0x0163  RW  0x204f8      0x26a3e        :DIAG:KEIT:BITS:ZERO
0x0164  RW  0x2053a      0x26a3e        :DIAG:KEIT:SET:SIG1
0x0165  RW  0x2057a      0x26a3e        :DIAG:KEIT:SET:SIG2
0x0166  RW  0x205ba      0x26a3e        :DIAG:KEIT:SET:REF
0x0167  RW  0x205fa      0x26a3e        :DIAG:KEIT:SET:ZERO
0x0168  R   -            0x26a3e        :DIAG:KEIT:CNT:SIG1
0x0169  R   -            0x26a3e        :DIAG:KEIT:CNT:SIG2
0x016a  R   -            0x26a3e        :DIAG:KEIT:CNT:REF
0x016b  R   -            0x26a3e        :DIAG:KEIT:CNT:ZERO
0x016c  RW  0x2067c      0x26bfa        :DIAG:KEIT:ENAB
0x016d  RW  0x2063a      0x26bd2        :DIAG:KEIT:SPHAS
0x016e  RW  0x20720      -              :DIAG:KEIT:DISP
0x016f  RW  0x20762      -              :DIAG:KEIT:DCMD
0x0170  R   -            0x26c26        :DIAG:KEIT:KEY
0x0171  RW  0x1ff6e      -              :DIAG:KEIT:CCR
0x0172  RW  0x207b4      0x26cd0        :DIAG:KEIT:STES
0x0173  RW  0x207c0      0x26d0c        :DIAG:KEIT:INT
0x0174  RW  0x207cc      0x26d48        :DIAG:KEIT:ILIN1
0x0175  RW  0x207d8      0x26d84        :DIAG:KEIT:ILIN2
